meter_id,meter_timestamp,meter_duration,meter_value,meter_type,meter_category
MTR-48392015,2024-11-25T20:40:00Z,34,219,Estimation,Periodic
MTR-72910486,2024-11-25T20:40:00Z,34,147,Estimation,Periodic
MTR-05821937,2024-11-25T20:40:00Z,34,156,Estimation,Periodic
MTR-93487520,2024-11-25T20:40:00Z,34,92,Estimation,Periodic
MTR-67213049,2024-11-25T20:40:00Z,34,69,Estimation,Periodic
MTR-14829375,2024-11-25T20:40:00Z,34,94,Estimation,Periodic
MTR-59038421,2024-11-25T20:40:00Z,34,76,Estimation,Periodic
MTR-80312754,2024-11-25T20:40:00Z,34,16,Estimation,Periodic
MTR-41786293,2024-11-25T20:40:00Z,34,183,Estimation,Periodic
MTR-29670348,2024-11-25T20:40:00Z,34,129,Estimation,Periodic
MTR-85172940,2024-11-25T20:40:00Z,34,116,Estimation,Periodic
MTR-03498217,2024-11-25T20:40:00Z,34,104,Estimation,Periodic
MTR-12049837,2024-11-25T20:40:00Z,34,83,Estimation,Periodic
MTR-98721045,2024-11-25T20:40:00Z,34,91,Estimation,Periodic
MTR-56301948,2024-11-25T20:40:00Z,34,93,Estimation,Periodic
MTR-20493758,2024-11-25T20:40:00Z,34,175,Estimation,Periodic
MTR-75904281,2024-11-25T20:40:00Z,32,132,Estimation,Periodic
MTR-31862974,2024-11-25T20:40:00Z,34,123,Estimation,Periodic
MTR-64271039,2024-11-25T20:40:00Z,34,74,Estimation,Periodic
MTR-87520491,2024-11-25T20:40:00Z,34,121,Estimation,Periodic
MTR-10958324,2024-11-27T14:00:00Z,29,151,Company,Periodic
MTR-50672839,2024-11-27T14:55:00Z,29,0,Company,Periodic
MTR-78245190,2024-10-30T23:44:00Z,34,0,Estimation,Periodic
MTR-43981275,2024-11-27T14:54:00Z,29,109,Company,Periodic
MTR-26039841,2024-11-27T15:28:00Z,29,194,Company,Periodic
MTR-59840712,2024-11-27T15:23:00Z,29,182,Company,Periodic
MTR-84723109,2024-11-27T20:20:00Z,29,25,Company,Periodic
MTR-32178490,2024-10-30T23:44:00Z,31,17,Estimation,Periodic
MTR-96502814,2024-11-25T20:40:00Z,32,68,Estimation,Periodic
MTR-70391642,2024-11-27T16:35:00Z,28,8,Company,Periodic
MTR-85624079,2024-11-27T16:36:00Z,28,331,Company,Periodic
MTR-41258793,2024-11-27T16:37:00Z,28,40,Company,Periodic
MTR-24783056,2024-10-31T23:36:00Z,31,38,Estimation,Periodic
MTR-67190248,2024-10-01T14:59:00Z,33,36,Estimation,Periodic
MTR-93415620,2024-08-30T23:36:00Z,30,32,Estimation,Periodic
MTR-58290347,2024-08-01T23:46:00Z,31,33,Estimation,Periodic
MTR-79610423,2024-11-27T14:22:00Z,28,21,Company,Periodic
MTR-40857219,2024-11-27T14:14:00Z,28,9997,Company,Periodic
MTR-23587091,2024-11-27T14:13:00Z,28,22,Company,Periodic
MTR-69021375,2024-11-27T14:11:00Z,28,108,Company,Periodic
MTR-84351026,2024-11-27T14:16:00Z,28,32,Company,Periodic
MTR-12759480,2024-10-31T23:36:00Z,31,35,Estimation,Periodic
MTR-51980734,2024-10-01T14:59:00Z,33,37,Estimation,Periodic
MTR-78426310,2024-08-30T23:36:00Z,30,33,Estimation,Periodic
MTR-35019248,2024-08-01T23:46:00Z,31,35,Estimation,Periodic
MTR-69847521,2024-07-02T23:35:00Z,34,38,Estimation,Periodic
MTR-90218357,2024-11-27T14:20:00Z,28,100,Company,Periodic
MTR-43672801,2024-11-27T14:29:00Z,28,6,Company,Periodic
MTR-21894035,2024-11-27T14:31:00Z,28,54,Company,Periodic
MTR-57381492,2024-11-27T14:33:00Z,28,49,Company,Periodic
MTR-80462971,2024-11-27T14:36:00Z,28,65,Company,Periodic
MTR-35280719,2024-11-27T14:37:00Z,28,41,Company,Periodic
MTR-69014827,2024-11-27T19:46:00Z,30,47,Company,Periodic
MTR-94750281,2024-11-27T19:48:00Z,30,307,Company,Periodic
MTR-12846905,2024-11-27T19:48:00Z,30,128,Company,Periodic
MTR-58024791,2024-11-27T19:49:00Z,30,44,Company,Periodic
MTR-73190584,2024-11-27T19:50:00Z,30,14,Company,Periodic
MTR-40659217,2024-11-27T18:57:00Z,30,124,Company,Periodic
MTR-26918470,2024-11-27T18:57:00Z,30,43,Company,Periodic
MTR-86749201,2024-11-27T18:58:00Z,30,12,Company,Periodic
MTR-14530297,2024-11-27T18:58:00Z,30,61,Company,Periodic
MTR-59478310,2024-11-27T18:58:00Z,30,67,Company,Periodic
