SERVICE_POINT_ID,SERVICE_POINT_NUMBER,SERVICE_POINT_STREET,SERVICE_POINT_CITY,SERVICE_POINT_ZIP,SERVICE_POINT_STATE,INSTALLED_AT,REMOVED_AT,CREATED,UPDATED
SP-58291470,58291470,ERIKA PLAZA,PORT NOAH,58291,NY,,,2022-05-06,2022-05-06
SP-74920651,74920651,KAISER CLIFF,EAST LAURA,74920,NY,,,2022-05-06,2022-05-06
SP-10643892,10643892,NELSON FORK,NORTH STEPHANIE,10643,NY,,,2022-12-20,2022-12-20
SP-96415738,96415738,ESTRADA LIGHTS,LAKE CARRIE,96415,NY,,,2022-05-06,2022-05-06
SP-57864902,57864902,MARGARET POINT,SOUTH JESSICA,57864,NY,,,2022-05-06,2022-05-06
SP-82395714,82395714,ESCOBAR MOUNTAINS,BELLBERG,82395,NY,,,2022-05-06,2022-05-06
SP-49162083,49162083,JEREMY FORKS,COOKTON,49162,NY,,,2022-05-06,2022-05-06
SP-36041892,36041892,ALLEN PLAZA,WEST RANDYMOUTH,36041,NY,,,2022-05-06,2022-05-06
SP-70695840,70695840,RICE LODGE,LAKE GWENDOLYN,70695,NY,,,2022-05-06,2022-05-06
SP-25830764,25830764,ANTHONY MALL,SOUTH TIMOTHYSTAD,25830,NY,,,2022-05-06,2022-05-06
SP-81974526,81974526,MELISSA PLAIN,WEST DANIELLE,81974,NY,,,2022-05-06,2022-05-06
SP-14796284,14796284,HANEY CAUSEWAY,ASHLEYTON,14796,NY,,,2022-05-06,2022-05-06
SP-60438192,60438192,BROWN TRAFFICWAY,NEW JUSTINTON,60438,NY,,,2022-05-06,2022-05-06
SP-93527041,93527041,CLAYTON TERRACE,WILCOXBERG,93527,NY,,,2022-05-06,2022-05-06
SP-71294605,71294605,LOPEZ POINT,PEREZTON,71294,NY,,,2022-05-06,2022-05-06
SP-58971324,58971324,CAMERON FERRY,HEATHERHAVEN,58971,NY,,,2022-05-06,2022-05-06
SP-27846951,27846951,DANIEL THROUGHWAY,HANNABURY,27846,NY,,,2022-05-06,2022-05-06
SP-64028197,64028197,HART FERRY,KYLEFORT,64028,NY,,,2022-05-06,2022-05-06
SP-85709462,85709462,DAVIS SPURS,JAMESVILLE,85709,NY,,,2022-05-06,2022-05-06
SP-13285603,13285603,WILLIAMS WALKS,PORT STACEYCHESTER,13285,NY,,,2022-05-06,2022-05-06
SP-59247038,59247038,ROBERT PLACE,BRADLEYMOUTH,59247,NY,,,2022-05-06,2022-05-06
SP-78451903,78451903,JOSHUA ESTATES,CHRISTINASIDE,78451,NY,,,2022-05-06,2022-05-06
SP-36187459,36187459,NICHOLS PATH,NORTH BRIANSHIRE,36187,NY,,,2022-05-06,2022-05-06
SP-69852014,69852014,ALLEN WELL,LAKE JUSTIN,69852,NY,,,2022-05-06,2022-05-06
SP-94076821,94076821,DECKER FORDS,PORT PAMELASIDE,94076,NY,,,2022-05-06,2022-05-06
SP-52764013,52764013,KAREN GARDENS,NICHOLSVIEW,52764,NY,,,2022-05-06,2022-05-06
SP-76839540,76839540,PERRY ISLAND,MCBRIDESTAD,76839,NY,,,2022-05-06,2022-05-06
SP-40596831,40596831,HOLDER BURGS,GEORGEVILLE,40596,NY,,,2022-05-06,2022-05-06
SP-29651793,29651793,BROOKS SHOALS,NEW DARRELL,29651,NY,,,2022-08-31,2022-09-16
SP-67328419,67328419,FREY WALKS,EMILYVIEW,67328,NY,,,2022-05-06,2022-05-06
SP-89470235,89470235,NANCY HEIGHTS,ALEXANDERSIDE,89470,NY,,,2022-05-06,2022-05-06
SP-14598362,14598362,KRUEGER ISLE,HOWELLTOWN,14598,NY,,,2022-05-06,2022-05-06
SP-50176409,50176409,MITCHELL GROVE,ALICIAMOUTH,50176,NY,,,2022-05-06,2022-05-06
SP-78326057,78326057,SAMANTHA ISLANDS,SHAWMOUTH,78326,NY,,,2022-05-06,2022-05-06
