premise_id,meter_id,meter_number,meter_type,meter_status,meter_channel,installed_at,removed_at,created,updated
PREM-48291036,4839201574,4839201574,KV2,Customer,MT,2021-03-12T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-59128407,7291048653,7291048653,KWH,Customer,MT,2004-04-28T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-30847195,582193740,582193740,KWH,Customer,MT,2024-08-15T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-76209413,9348752061,9348752061,L+G Self-Cont Mesh,Customer,MT,2025-01-14T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-10492857,6721304908,6721304908,KWH,Customer,MT,2005-06-13T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-83926514,1482937562,1482937562,KWH,Customer,MT,2021-03-01T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-27540198,5903842179,5903842179,L+G Self-Cont Mesh,Customer,MT,2024-07-11T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-69023784,8031275461,8031275461,KWH,Customer,MT,2007-06-08T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-15492837,4178629305,4178629305,L+G Self-Cont Mesh,Customer,MT,2024-10-02T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-48176029,2967034817,2967034817,KWH,Customer,MT,2004-06-23T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-93047182,8517294036,8517294036,AMI Cell,Customer,MT,2023-01-20T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-57281049,349821759,349821759,L+G Self-Cont Mesh,Customer,MT,2023-11-29T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-31490528,1204983726,1204983726,KWH,Customer,MT,2003-06-02T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-84621073,9872104563,9872104563,L+G Self-Cont Mesh,Customer,MT,2024-07-05T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-60573918,5630194872,5630194872,L+G Self-Cont Mesh,Customer,MT,2024-08-23T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-21748056,2049375819,2049375819,KWH,Customer,MT,2018-10-08T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-93816520,7590428130,7590428130,L+G Self-Cont Mesh,Customer,MT,2024-09-04T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-46029781,3186297405,3186297405,L+G Self-Cont Mesh,Customer,MT,2024-07-23T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-72190438,6427103981,6427103981,KWH,Customer,MT,2004-01-26T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-58301749,8752049163,8752049163,L+G Self-Cont Mesh,Customer,MT,2024-04-03T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-40982136,1095832478,1095832478,KWH,Customer,MT,2003-11-25T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-67205914,5067283941,5067283941,L+G Self-Cont Mesh,Customer,MT,2024-08-16T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-31847025,7824519036,7824519036,L+G Self-Cont Mesh,Customer,MT,2024-05-09T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-90523618,4398127590,4398127590,L+G Self-Cont Mesh,Customer,MT,2025-01-27T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-14286709,2603984175,2603984175,L+G Self-Cont Mesh,Customer,MT,2025-01-08T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-68729415,5984071234,5984071234,L+G Self-Cont Mesh,Customer,MT,2024-06-19T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-52498173,8472310956,8472310956,KWH,Customer,MT,2004-01-13T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-39061728,3217849073,3217849073,L+G Self-Cont Mesh,Customer,MT,2024-11-13T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-74820519,9650281472,9650281472,L+G Self-Cont Mesh,Customer,MT,2024-09-19T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-85691324,7039164285,7039164285,L+G Self-Cont Mesh,Customer,MT,2024-06-24T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-21394057,8562407913,8562407913,Sentinel,Customer,MT,2011-09-19T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-46958032,4125879360,4125879360,KWH,Customer,MT,2024-08-28T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-58213490,2478305698,2478305698,KWH,Customer,MT,2019-05-06T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-31749862,6719024831,6719024831,KWH,Customer,MT,2005-12-16T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-94062718,9341562078,9341562078,KV2,Customer,MT,2014-04-10T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-10538279,5829034716,5829034716,L+G Self-Cont Mesh,Customer,MT,2024-10-17T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-73601482,7961042385,7961042385,KWH,Customer,MT,2004-06-15T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-49178520,4085721963,4085721963,KWH,Customer,MT,2003-08-05T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-62830941,2358709146,2358709146,KWH,,,,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-37482096,6902137548,6902137548,KWH,Customer,MT,2003-04-11T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-81942750,8435102679,8435102679,KWH,Customer,MT,2003-03-28T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-20395816,1275948036,1275948036,KWH,Customer,MT,2003-12-01T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-56742039,5198073462,5198073462,KWH,Customer,MT,2022-10-18T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-39271864,7842631095,7842631095,L+G Self-Cont Mesh,Customer,MT,2024-06-20T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-74105829,3501924871,3501924871,KWH,Customer,MT,2004-01-26T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-60847231,6984752170,6984752170,L+G Self-Cont Mesh,Customer,MT,2024-07-24T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-21530948,9021835746,9021835746,KWH,Customer,MT,2004-05-25T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-89361742,4367280195,4367280195,KWH,Customer,MT,2003-08-25T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-43029857,2189403571,2189403571,KWH,Customer,MT,2025-01-15T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-57649108,5738149260,5738149260,AMI Cell,Customer,MT,2017-03-21T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-30928416,8046297138,8046297138,KWH,Customer,MT,2016-10-03T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-65472103,3528071964,3528071964,L+G Self-Cont Mesh,Customer,MT,2024-10-08T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-19248576,6901482735,6901482735,KWH,Customer,MT,2003-08-05T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-87503921,9475028190,9475028190,L+G Self-Cont Mesh,Customer,MT,2024-10-09T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-40861735,1284690574,1284690574,L+G Self-Cont Mesh,Customer,MT,2025-01-06T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-62319847,5802479136,5802479136,L+G Self-Cont Mesh,Customer,MT,2024-06-13T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-34157029,7319058460,7319058460,L+G Self-Cont Mesh,Customer,MT,2025-01-28T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-79042618,4065921789,4065921789,KWH,Customer,MT,2003-06-16T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-15693824,2691847053,2691847053,L+G Self-Cont Mesh,Customer,MT,2024-10-11T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-48261395,8674920135,8674920135,KWH,Customer,MT,2017-06-30T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-90573812,1453029768,1453029768,L+G Self-Cont Mesh,Customer,MT,2025-01-09T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-31754908,5947831092,5947831092,L+G Self-Cont Mesh,Customer,MT,2024-08-22T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-68214093,8732054129,8732054129,KWH,Customer,MT,2006-12-06T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-57420936,3289174560,3289174560,KWH,Customer,MT,2015-07-28T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-21387954,7601843295,7601843295,KWH,Customer,MT,2004-06-19T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-49821637,9158702463,9158702463,KWH,Customer,MT,2021-10-01T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-63109425,4073168259,4073168259,KWH,Customer,MT,2018-10-03T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-37058149,2540679183,2540679183,KWH,Customer,MT,2003-10-17T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-85920413,6305982174,6305982174,L+G Self-Cont Mesh,Customer,MT,2024-10-22T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-20479568,8427915360,8427915360,L+G Self-Cont Mesh,Customer,MT,2023-12-01T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-76813042,1385074269,1385074269,L+G Self-Cont Mesh,Customer,MT,2024-10-14T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-43509217,5026819731,5026819731,KWH,Customer,MT,2007-05-09T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-59271804,7840512639,7840512639,KWH,Customer,MT,2003-03-18T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-31046829,3691254807,3691254807,L+G Self-Cont Mesh,Customer,MT,2024-03-13T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-67423981,6902874351,6902874351,KWH,Customer,MT,2011-05-19T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-14852730,9304518726,9304518726,KWH,Customer,MT,2021-10-25T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-80731629,5173928640,5173928640,L+G Self-Cont Mesh,Customer,MT,2024-12-23T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-26309457,7620481395,7620481395,L+G Self-Cont Mesh,Customer,MT,2024-11-07T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-94075218,4059782164,4059782164,L+G Self-Cont Mesh,Customer,MT,2024-12-05T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-51739402,2846135907,2846135907,KWH,Customer,MT,2024-07-30T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-38260147,6782034169,6782034169,L+G Self-Cont Mesh,Customer,MT,2025-01-30T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-76984510,8945701283,8945701283,KWH,Customer,MT,2003-07-02T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-42903718,1462985709,1462985709,L+G Self-Cont Mesh,Customer,MT,2024-03-05T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-85621039,5918742068,5918742068,KWH,Customer,MT,2003-08-22T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-19347860,8234610975,8234610975,KWH,Customer,MT,2023-11-01T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
