premise_id,created_date,premise_house_num,premise_street,premise_house_supp,premise_city,premise_zip,premise_region
PREM-48291036,2016-05-06,82926,Oakridge Lane,,North Melissaton,58291,NY
PREM-59128407,2016-05-06,527,Mapleview Drive,Estates,South April,74920,NY
PREM-30847195,2016-05-06,4675,Pinecrest Road,,North Melindaland,10643,NY
PREM-76209413,2016-05-06,382,Willow Bend Street,Knoll,Melendezside,96415,NY
PREM-10492857,2016-05-06,805,Cedarbrook Avenue,,Daltonhaven,57864,NY
PREM-83926514,2016-05-06,961,Birchwood Court,Crest,Port Eric,82395,NY
PREM-27540198,2016-05-06,4765,Highland Terrace,Lake,New Stephenville,49162,NY
PREM-69023784,2016-05-06,233,Riverstone Lane,,New Erinville,36041,NY
PREM-15492837,2016-05-06,63,Sunset Ridge Drive,,Port Nicole,70695,NY
PREM-48176029,2016-05-06,7387,Lakeshore Boulevard,Ports,Williamsberg,25830,NY
PREM-93047182,2016-05-06,4235,Hillcrest Avenue,Square,West Amyview,81974,NY
PREM-57281049,2016-05-06,1047,Meadowbrook Road,Mill,Port Olivia,14796,NY
PREM-31490528,2016-05-06,1504,Forest Glen Drive,,Traviston,60438,NY
PREM-84621073,2016-05-06,1086,Silverleaf Court,Burgs,East Brianna,93527,NY
PREM-60573918,2016-05-06,24396,Redwood Street,Brook,South Christinabury,71294,NY
PREM-21748056,2016-05-06,18389,Autumn Ridge Lane,,Lake Katieton,58971,NY
PREM-93816520,2016-05-06,755,Whispering Pines Drive,,Hughesburgh,27846,NY
PREM-46029781,2016-05-06,268,Broadmoor Avenue,Mountain,West Glennport,64028,NY
PREM-72190438,2016-05-06,579,Golden Meadow Road,,Charlesstad,85709,NY
PREM-58301749,2016-05-06,28879,Prairie View Drive,,New John,13285,NY
PREM-40982136,2016-05-06,3678,Brookstone Lane,Extension,South Jerome,59247,NY
PREM-67205914,2016-05-06,90,Valley Crest Drive,Road,Lake Connor,78451,NY
PREM-31847025,2016-05-06,38651,Canyon Ridge Road,,Port Marcus,36187,NY
PREM-90523618,2016-05-06,40376,Elmwood Street,Grove,Hensonland,69852,NY
PREM-14286709,2016-05-06,601,Timberline Drive,Inlet,Leahborough,94076,NY
